(2614,320)
(2615,322)
(2616,325)
(2617,326)
(2618,329)
(2619,330)
(2620,331)
(2621,332)
(2622,334)
(2623,336)
(2624,337)
(2625,338)
(2626,339)
(2627,341)
(2628,342)
(2629,343)
(2630,344)
(2631,345)
(2632,347)
(2633,348)
(2634,349)
(2635,350)
(2636,351)
(2637,353)
(2638,354)
(2639,355)
(2640,356)
(2641,357)
(2642,359)
(2643,360)
(2644,361)
(2645,362)
(2646,363)
(2647,364)
(2648,365)
(2649,366)
(2650,367)
(2651,368)
(2652,369)
(2653,370)
(2654,371)
(2655,373)
(2656,374)
(2657,375)
(2658,376)
(2659,378)
(2660,379)
(2661,380)
(2662,381)
(2663,383)
(2664,385)
(2665,386)
(2666,387)
(2667,388)
(2668,389)
(2669,390)
(2670,391)
(2671,392)
(2672,393)
(2673,394)
(2674,395)
(2675,396)
(2676,397)
(2677,399)
(2678,400)
(2679,401)
(2680,402)
(2681,404)
(2682,405)
(2683,406)
(2684,407)
(2685,408)
(2686,409)
(2687,410)
(2688,411)
(2689,417)
(2690,418)
(2691,419)
(2692,420)
(2693,421)
(2694,422)
(2695,428)
(2696,430)
(2697,433)
(2698,436)
(2699,438)
(2700,441)
(2701,444)
(2702,445)
(2703,446)
(2704,447)
(2705,448)
(2706,449)
(2707,450)
(2708,451)
(2709,453)
(2710,455)
(2711,456)
(2712,457)
(2713,458)
(2714,460)
(2715,461)
(2716,462)
(2717,463)
(2718,465)
(2719,466)
(2720,471)
(2721,472)
(2722,473)
(2723,474)
(2724,475)
(2725,476)
(2726,477)
(2727,478)
(2728,479)
(2729,480)
(2730,481)
(2731,482)
(2732,483)
(2733,486)
(2734,489)
(2735,490)
(2736,491)
(2737,492)
(2738,493)
(2739,494)
(2740,495)
(2741,496)
(2742,497)
(2743,498)
(2744,500)
(2745,501)
(2746,502)
(2747,503)
(2748,504)
(2749,505)
(2750,506)
(2751,507)
(2752,508)
(2753,511)
(2754,512)
(2755,513)
(2756,514)
(2757,517)
(2758,518)
(2759,519)
(2760,520)
(2761,521)
(2762,522)
(2763,523)
(2764,524)
(2765,525)
(2766,526)
(2767,527)
(2768,528)
(2769,529)
(2770,530)
(2771,531)
(2772,532)
(2773,533)
(2774,534)
(2775,540)
(2776,541)
(2777,542)
(2778,544)
